Name, Rate, Phone Numbers that Start With, 
Bulgaria,0.02710,"3597, 35924, 359325, 359349, 359385, 359429, 359445, 359469, 359524, 359529, 359549, 359569, 359585, 359625, 359649, 359669, 359685, 359825, 359845, 359865, 359929, 359949, 359965, 3593015, 3593069, 3593089, 3593099, 3593115, 3593118, 3593134, 3593239, 3593319, 3593355, 3593369, 3593379, 3593399, 3593509, 3593579, 3593597, 3593615, 3593799, 3593917, 3593919, 3594168, 3594173, 3594179, 3594315, 3594319, 3594539, 3594575, 3594579, 3594789, 3595179, 3595185, 3595195, 3595379, 3595389, 3595391, 3595507, 3595509, 3595545, 3595547, 3595549, 3595569, 3595588, 3595598, 3595709, 3595795, 3595799, 3595909, 3595965, 3596015, 3596017, 3596019, 3596058, 3596085, 3596109, 3596189, 3596199, 3596319, 3596509, 3596585, 3596592, 3596709, 3596759, 3596769, 3596779, 3596789, 3596979, 3598179, 3598489, 3598649, 3599159, 3599389, 3599527, 3599539, 3599717, 3599718, 3599735, 3599739"
Bulgaria,0.08280,"35987, 35988, 35989, 359988, 359989"
"Burkina Faso",0.29000,226
"Burkina Faso",0.42500,"22660, 22661, 22662, 22663, 22664, 22665, 22666, 22667, 22668, 22670, 22671, 22672, 22673, 22674, 22675, 22676, 22677, 22678, 22679"
Burundi,0.68000,"25771, 25774, 25775, 25776, 25777, 25778, 25779"
Burundi,0.88500,257
Cambodia,0.07450,855
Cambodia,0.07450,"8551, 8552, 8553, 8554, 8555, 8556, 8559, 85570, 85572, 85573, 85574, 85575, 85576, 85577, 85578, 85580, 85581, 85583, 85584, 85585, 85586, 85587, 85589"
Cameroon,0.18000,"237, 23722"
Cameroon,0.45000,"2377, 2379, 23750, 23751, 23755"
"Cape Verde",0.23000,238
"Cape Verde",0.37500,"2389, 23851, 23853, 23858, 23859, 23895, 23897, 23898, 23899, 238310, 238311, 238312, 238313, 238314, 238330, 238331, 238332, 238333, 238334, 238410, 238411, 238412, 238413, 238414"
"Cayman Islands",0.10400,1345
"Cayman Islands",0.24500,"134532, 134599, 1345229, 1345249, 1345514, 1345516, 1345517, 1345525, 1345526, 1345527, 1345529, 1345545, 1345546, 1345547, 1345548, 1345549, 1345550, 1345616, 1345617, 1345625, 1345629, 1345640, 1345645, 1345646, 1345647, 1345649, 1345916, 1345917, 1345919, 1345922, 1345923, 1345924, 1345925, 1345926, 1345927, 1345928, 1345929, 1345930, 1345936, 1345937, 1345938, 1345939"
"Central Africa",0.34500,236
"Central Africa",0.64500,"23670, 23672, 23675, 23677"
Chad,0.33500,235
Chad,0.59840,"2356, 2357, 2359"
Chile,0.03600,"56, 5622"
Chile,0.25500,"569, 5688"
Chile,0.62500,"5644, 56612, 56613, 56614, 56615, 56616, 56617, 56618, 56619, 562196, 562197, 562198, 562572, 562593, 562788, 562868, 5632196, 5632197, 5632198, 5633196, 5633197, 5633198, 5634196, 5634197, 5634198, 5635196, 5635197, 5635198, 5641196, 5641197, 5641198, 5642196, 5642197, 5642198, 5643196, 5643197, 5643198, 5643970, 5643971, 5643972, 5645196, 5645197, 5645198, 5651196, 5651197, 5651198, 5652196, 5652197, 5652198, 5653196, 5653197, 5653198, 5655196, 5655197, 5655198, 5657196, 5657197, 5657198, 5658196, 5658197, 5658198, 5661196, 5661197, 5661198, 5663196, 5663197, 5663198, 5664196, 5664197, 5664198, 5665196, 5665197, 5665198, 5667196, 5667197, 5667198, 5671196, 5671197, 5671198, 5672196, 5672197, 5672198, 5673196, 5673197, 5673198, 5675196, 5675197, 5675198"
Chile,0.77500,"5632210, 5632255"
China,0.02180,8610
China,0.02180,86
China,0.02180,"8613, 86145, 86147, 86150, 86151, 86152, 86153, 86155, 86156, 86157, 86158, 86159, 86177, 86180, 86182, 86183, 86185, 86186, 86187, 86188, 86189, 861700"
Colombia,0.05500,"571, 572, 574, 575, 576, 577, 578"
Colombia,0.07000,57
Colombia,0.18000,"57315, 57316, 57317, 57318, 57319"
Colombia,0.18000,573
Colombia,0.18000,57350
Colombia,0.18000,"57310, 57311, 57312, 57313, 57314, 57320, 57321"
Colombia,0.18000,"57300, 57301, 57304"
Comoros,0.36500,269
Comoros,0.60500,2693
Congo,0.57500,"24201, 24204, 24205, 24206"
Congo,0.58500,242
"Congo, Dem Rep",0.37500,243
"Congo, Dem Rep",0.58500,"24378, 24381, 24382, 24384, 24385, 24387, 24388, 24389, 24390, 24397, 24398, 24399"
"Costa Rica",0.02400,506
"Costa Rica",0.06300,5064
"Costa Rica",0.11500,"5065, 5066, 5067, 5068"
Croatia,0.02700,385
Croatia,0.15000,"38591, 38592, 38595, 38598, 38599, 385901, 385970, 385976, 385977, 385979"
Cyprus,0.01800,357
Cyprus,0.07000,90392
Cyprus,0.07500,"35795, 35796, 35797, 35799, 357942"
Cyprus,0.12500,"357700, 3577777"
"Czech Republic",0.03400,"420, 4202"
"Czech Republic",0.04500,"42072, 42073, 42077, 42079, 42093, 420601, 420602, 420603, 420604, 420605, 420606, 420607, 420608, 420702, 420703, 420705, 420840, 420841, 420842, 420847, 420848, 420849, 420961, 420962, 420963, 420964, 420965, 420966, 420967, 4207920, 4207921, 4207922, 4207923, 4207924, 4207925"
Denmark,0.01900,45
